,title,price,link
0,"HP 15s 12th Gen Intel Core i3-1215U,15.6inch(39.6cm), FHD,Anti-glare,8GB RAM,512GB SSD,Intel UHD graphics,Dual Speakers(Win11,MSO2021,Silver,1.69Kg), 15s-FQ5185tu  ","34,990",https://amazon.in//HP-i3-1215U-15-6inch-Anti-glare-15s-FQ5185tu/dp/B0CJM5J5LS/ref=sr_1_289?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.4bVi7L59JWoS1pK2rv5D2waY3JUrFShagzx9tRHfgi45knIUJes6JU-UxrEmvW7kGxsJZUj-CCbCIb8H4lIAN0M1RRiiU97D9l3iAD4Y75SyUe45ksAbu3RPChs4SRpEpJwSIG6RXLQYYa9tEfCGB3HkxE4pxAwp2mTCU0wOfGIZCUR2jymjImPwTV4MVOgvhOESR-LmM-7NQSgC8GUSg2iwPweYgCg-SFtcvDK2g48.z1DzlduPHe6DJdoInIFtgwxBh3VEDphL0T_fEapxz_8&dib_tag=se&keywords=laptop&qid=1724007675&sprefix=laptop%2Caps%2C225&sr=8-289
1,"Chuwi CoreBook X i5 14"" Laptop, 16GB RAM 512GB SSD, Windows 11, Intel Core i5-1035G1 (Upto 3.6GHz), WIFI 6, USB3.2, Backlit Keyboard, Webcam, Bluetooth 5.2, HDMI Port, 46.2 Wh, 1.4kg (Gray)  ","24,990",https://amazon.in//Chuwi-CoreBook-i5-1035G1-Keyboard-Bluetooth/dp/B0CNT6LD6W/ref=sr_1_290?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.4bVi7L59JWoS1pK2rv5D2waY3JUrFShagzx9tRHfgi45knIUJes6JU-UxrEmvW7kGxsJZUj-CCbCIb8H4lIAN0M1RRiiU97D9l3iAD4Y75SyUe45ksAbu3RPChs4SRpEpJwSIG6RXLQYYa9tEfCGB3HkxE4pxAwp2mTCU0wOfGIZCUR2jymjImPwTV4MVOgvhOESR-LmM-7NQSgC8GUSg2iwPweYgCg-SFtcvDK2g48.z1DzlduPHe6DJdoInIFtgwxBh3VEDphL0T_fEapxz_8&dib_tag=se&keywords=laptop&qid=1724007675&sprefix=laptop%2Caps%2C225&sr=8-290
2,"Dell 15 Thin & Light Laptop, AMD Ryzen5-5500U Processor, 8GB DDR4, 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits Display, Windows 11 + MSO'21, 15 Months McAfee, Silver, 1.69kg  ","36,990",https://amazon.in//Dell-Inspiron-Ryzen5-5500U-Processor-39-62cm/dp/B0CNZ8QNJC/ref=sr_1_299?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.4bVi7L59JWoS1pK2rv5D2waY3JUrFShagzx9tRHfgi45knIUJes6JU-UxrEmvW7kGxsJZUj-CCbCIb8H4lIAN0M1RRiiU97D9l3iAD4Y75SyUe45ksAbu3RPChs4SRpEpJwSIG6RXLQYYa9tEfCGB3HkxE4pxAwp2mTCU0wOfGIZCUR2jymjImPwTV4MVOgvhOESR-LmM-7NQSgC8GUSg2iwPweYgCg-SFtcvDK2g48.z1DzlduPHe6DJdoInIFtgwxBh3VEDphL0T_fEapxz_8&dib_tag=se&keywords=laptop&qid=1724007675&sprefix=laptop%2Caps%2C225&sr=8-299
3,"Lenovo LOQ 2024 12th Gen Intel Core i5-12450HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (8GB/512GB SSD/Win 11/Intel Arc A530M 4GB Graphics/100% sRGB/3 Month Game Pass/Grey/2.4Kg), 83FQ0009IN  ","56,490",https://amazon.in//Lenovo-i5-12450HX-300Nits-Graphics-83FQ0009IN/dp/B0CRDVFK6B/ref=sr_1_300?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.4bVi7L59JWoS1pK2rv5D2waY3JUrFShagzx9tRHfgi45knIUJes6JU-UxrEmvW7kGxsJZUj-CCbCIb8H4lIAN0M1RRiiU97D9l3iAD4Y75SyUe45ksAbu3RPChs4SRpEpJwSIG6RXLQYYa9tEfCGB3HkxE4pxAwp2mTCU0wOfGIZCUR2jymjImPwTV4MVOgvhOESR-LmM-7NQSgC8GUSg2iwPweYgCg-SFtcvDK2g48.z1DzlduPHe6DJdoInIFtgwxBh3VEDphL0T_fEapxz_8&dib_tag=se&keywords=laptop&qid=1724007675&sprefix=laptop%2Caps%2C225&sr=8-300
4,"ASUS Vivobook S15 OLED (2022) 15.6"" (39.62 cms) FHD OLED, Intel Core Evo i5-12500H 12th Gen, Thin and Light Laptop (16GB/512GB SSD/Iris Xe Graphics/Windows 11/Office 2021/Green/1.8 kg) K3502ZA-L503WS  ","64,990",https://amazon.in//ASUS-Vivobook-Intel-Core-Evo-i5-12500H-K3502ZA-L503WS/dp/B09YHCC26T/ref=sr_1_301?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.4bVi7L59JWoS1pK2rv5D2waY3JUrFShagzx9tRHfgi45knIUJes6JU-UxrEmvW7kGxsJZUj-CCbCIb8H4lIAN0M1RRiiU97D9l3iAD4Y75SyUe45ksAbu3RPChs4SRpEpJwSIG6RXLQYYa9tEfCGB3HkxE4pxAwp2mTCU0wOfGIZCUR2jymjImPwTV4MVOgvhOESR-LmM-7NQSgC8GUSg2iwPweYgCg-SFtcvDK2g48.z1DzlduPHe6DJdoInIFtgwxBh3VEDphL0T_fEapxz_8&dib_tag=se&keywords=laptop&qid=1724007675&sprefix=laptop%2Caps%2C225&sr=8-301
5,"[Smart Choice] HP OMEN Gaming Laptop, AMD Ryzen 7 7840HS, 8GB RTX 4060 GPU, 16.1""(40.9 cm), FHD, IPS, 165 Hz, 300 nits, 16GB DDR5, 1TB SSD, RGB KB, 7ms Response time (Win 11, Black, 2.32 kg), xd0020AX  ","1,13,990",https://amazon.in//Choice-HP-Gaming-Response-xd0020AX/dp/B0CCVZP835/ref=sr_1_302?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.4bVi7L59JWoS1pK2rv5D2waY3JUrFShagzx9tRHfgi45knIUJes6JU-UxrEmvW7kGxsJZUj-CCbCIb8H4lIAN0M1RRiiU97D9l3iAD4Y75SyUe45ksAbu3RPChs4SRpEpJwSIG6RXLQYYa9tEfCGB3HkxE4pxAwp2mTCU0wOfGIZCUR2jymjImPwTV4MVOgvhOESR-LmM-7NQSgC8GUSg2iwPweYgCg-SFtcvDK2g48.z1DzlduPHe6DJdoInIFtgwxBh3VEDphL0T_fEapxz_8&dib_tag=se&keywords=laptop&qid=1724007675&sprefix=laptop%2Caps%2C225&sr=8-302
6,"Dell Inspiron 3520 Laptop, Intel Core i3-1215U Processor, 8GB, 512GB, 15.6"" (39.62cm) FHD, Backlit KB, Win 11 + MSO'21, 15 Month McAfee Antivirus, Silver, 1.65kg  ","36,490",https://amazon.in//Dell-Inspiron-3520-Processor-Antivirus/dp/B0CJJZNY4L/ref=sr_1_303?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.4bVi7L59JWoS1pK2rv5D2waY3JUrFShagzx9tRHfgi45knIUJes6JU-UxrEmvW7kGxsJZUj-CCbCIb8H4lIAN0M1RRiiU97D9l3iAD4Y75SyUe45ksAbu3RPChs4SRpEpJwSIG6RXLQYYa9tEfCGB3HkxE4pxAwp2mTCU0wOfGIZCUR2jymjImPwTV4MVOgvhOESR-LmM-7NQSgC8GUSg2iwPweYgCg-SFtcvDK2g48.z1DzlduPHe6DJdoInIFtgwxBh3VEDphL0T_fEapxz_8&dib_tag=se&keywords=laptop&qid=1724007675&sprefix=laptop%2Caps%2C225&sr=8-303
7,"HP Laptop 15, 13th Gen Intel Core i5-1335U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe graphics, 1080p FHD camera w/privacy shutter, Backlit KB, (Win 11, Blue, 1.6 kg), fd0021TU  ","50,990",https://amazon.in//HP-i5-1335U-15-6-inch-Graphics-fd0021TU/dp/B0C3MGYZQX/ref=sr_1_304?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.4bVi7L59JWoS1pK2rv5D2waY3JUrFShagzx9tRHfgi45knIUJes6JU-UxrEmvW7kGxsJZUj-CCbCIb8H4lIAN0M1RRiiU97D9l3iAD4Y75SyUe45ksAbu3RPChs4SRpEpJwSIG6RXLQYYa9tEfCGB3HkxE4pxAwp2mTCU0wOfGIZCUR2jymjImPwTV4MVOgvhOESR-LmM-7NQSgC8GUSg2iwPweYgCg-SFtcvDK2g48.z1DzlduPHe6DJdoInIFtgwxBh3VEDphL0T_fEapxz_8&dib_tag=se&keywords=laptop&qid=1724007675&sprefix=laptop%2Caps%2C225&sr=8-304
8,GIGABYTE G5 MF-F2IN313SH 12th Gen IntelÂ® Core i5 12450H/ 15.6 inch FHD 144Hz(45%) /RTX 4050 6G/DDR4 3200 8GB*2/GEN4 512G/AX211/WIN11 Home Gaming Laptop  ,"65,990",https://amazon.in//GIGABYTE-MF-F2IN313SH-Intel%C2%AE-12450H-Gaming/dp/B0CKB8P1QF/ref=sr_1_305?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.moNmbIRdZKw-ICiiqw22r9Qd3RuyEA5hv1-gHLVW8fuCCPhinFgVi8eLiuRCOBU9LWwAIwpti_QnuKMkHu14LgZcN5mPq39T5b0V8eGJ2BusRT9woVwVHS7RcONzSnkjryDWgqgqdzniH-Ij5jj3troN6WRyJdHbjeispq7iHfZhqBkYNSMHq9u6bI_iLcO5ZlE_i-cYjVIWjM3CjRY2zqHusJC6eA63HxikFiYVI4k.dnfmTlfc6iZdXBgwub8OWx2dHYbUuD_uxT59U7qboW0&dib_tag=se&keywords=laptop&qid=1724003843&sprefix=laptop%2Caps%2C225&sr=8-305
9,"MSI Modern 14, Intel 13th Gen. i5-1335U, 36CM FHD 60Hz Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Iris Xe Graphics/Classic Black/1.4Kg), C13M-436IN  ","48,990",https://amazon.in//MSI-Modern-14-i5-1335U-C13M-436IN/dp/B0BX9RLFF9/ref=sr_1_306?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.moNmbIRdZKw-ICiiqw22r9Qd3RuyEA5hv1-gHLVW8fuCCPhinFgVi8eLiuRCOBU9LWwAIwpti_QnuKMkHu14LgZcN5mPq39T5b0V8eGJ2BusRT9woVwVHS7RcONzSnkjryDWgqgqdzniH-Ij5jj3troN6WRyJdHbjeispq7iHfZhqBkYNSMHq9u6bI_iLcO5ZlE_i-cYjVIWjM3CjRY2zqHusJC6eA63HxikFiYVI4k.dnfmTlfc6iZdXBgwub8OWx2dHYbUuD_uxT59U7qboW0&dib_tag=se&keywords=laptop&qid=1724003843&sprefix=laptop%2Caps%2C225&sr=8-306
10,"Apple 2023 MacBook Pro (14-inch, M3 Pro chip with 11â€‘core CPU and 14â€‘core GPU, 18GB Unified Memory, 512GB) - Space Black  ","1,87,990",https://amazon.in//Apple-MacBook-14-inch-11%E2%80%91core-14%E2%80%91core/dp/B0CM5SRXP8/ref=sr_1_291?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.4bVi7L59JWoS1pK2rv5D2waY3JUrFShagzx9tRHfgi45knIUJes6JU-UxrEmvW7kGxsJZUj-CCbCIb8H4lIAN0M1RRiiU97D9l3iAD4Y75SyUe45ksAbu3RPChs4SRpEpJwSIG6RXLQYYa9tEfCGB3HkxE4pxAwp2mTCU0wOfGIZCUR2jymjImPwTV4MVOgvhOESR-LmM-7NQSgC8GUSg2iwPweYgCg-SFtcvDK2g48.z1DzlduPHe6DJdoInIFtgwxBh3VEDphL0T_fEapxz_8&dib_tag=se&keywords=laptop&qid=1724007675&sprefix=laptop%2Caps%2C225&sr=8-291
11,"Lenovo IdeaPad Slim 3 AMD Ryzen 7 5700U 15.6"" FHD Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/1Yr ADP Free/Arctic Grey/1.65Kg), 82KU024JIN  ","43,990",https://amazon.in//Lenovo-IdeaPad-Laptop-Windows-82KU024JIN/dp/B0CP2DWWFS/ref=sr_1_292?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.4bVi7L59JWoS1pK2rv5D2waY3JUrFShagzx9tRHfgi45knIUJes6JU-UxrEmvW7kGxsJZUj-CCbCIb8H4lIAN0M1RRiiU97D9l3iAD4Y75SyUe45ksAbu3RPChs4SRpEpJwSIG6RXLQYYa9tEfCGB3HkxE4pxAwp2mTCU0wOfGIZCUR2jymjImPwTV4MVOgvhOESR-LmM-7NQSgC8GUSg2iwPweYgCg-SFtcvDK2g48.z1DzlduPHe6DJdoInIFtgwxBh3VEDphL0T_fEapxz_8&dib_tag=se&keywords=laptop&qid=1724007675&sprefix=laptop%2Caps%2C225&sr=8-292
12,"MSI Cyborg 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 6GB/Translucent Black/1.98Kg), A12UDX-1049IN  ","62,990",https://amazon.in//MSI-i5-12450H-Windows-Translucent-A12UDX-1049IN/dp/B0CXDH112Q/ref=sr_1_293?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.4bVi7L59JWoS1pK2rv5D2waY3JUrFShagzx9tRHfgi45knIUJes6JU-UxrEmvW7kGxsJZUj-CCbCIb8H4lIAN0M1RRiiU97D9l3iAD4Y75SyUe45ksAbu3RPChs4SRpEpJwSIG6RXLQYYa9tEfCGB3HkxE4pxAwp2mTCU0wOfGIZCUR2jymjImPwTV4MVOgvhOESR-LmM-7NQSgC8GUSg2iwPweYgCg-SFtcvDK2g48.z1DzlduPHe6DJdoInIFtgwxBh3VEDphL0T_fEapxz_8&dib_tag=se&keywords=laptop&qid=1724007675&sprefix=laptop%2Caps%2C225&sr=8-293
13,"Lenovo IdeaPad 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SDD/Windows 11 Home/1Yr ADP Free/Cloud Grey/1.3Kg), 82V6009HIN  ","26,990",https://amazon.in//Lenovo-IdeaPad-Celeron-Windows-82V6009HIN/dp/B0D8138TR8/ref=sr_1_294?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.4bVi7L59JWoS1pK2rv5D2waY3JUrFShagzx9tRHfgi45knIUJes6JU-UxrEmvW7kGxsJZUj-CCbCIb8H4lIAN0M1RRiiU97D9l3iAD4Y75SyUe45ksAbu3RPChs4SRpEpJwSIG6RXLQYYa9tEfCGB3HkxE4pxAwp2mTCU0wOfGIZCUR2jymjImPwTV4MVOgvhOESR-LmM-7NQSgC8GUSg2iwPweYgCg-SFtcvDK2g48.z1DzlduPHe6DJdoInIFtgwxBh3VEDphL0T_fEapxz_8&dib_tag=se&keywords=laptop&qid=1724007675&sprefix=laptop%2Caps%2C225&sr=8-294
14,"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS, 15.6-inch FHD 144Hz, Gaming Laptop (16GB/512GB SSD/NVIDIA GeForce RTX 4050/Windows 11/90WHr/Mecha Gray/2.2 Kg), FA507NUR-LP082W  ","92,990",https://amazon.in//ASUS-15-6-inch-GeForce-Windows-FA507NUR-LP082W/dp/B0D5DCSNM1/ref=sr_1_295?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.4bVi7L59JWoS1pK2rv5D2waY3JUrFShagzx9tRHfgi45knIUJes6JU-UxrEmvW7kGxsJZUj-CCbCIb8H4lIAN0M1RRiiU97D9l3iAD4Y75SyUe45ksAbu3RPChs4SRpEpJwSIG6RXLQYYa9tEfCGB3HkxE4pxAwp2mTCU0wOfGIZCUR2jymjImPwTV4MVOgvhOESR-LmM-7NQSgC8GUSg2iwPweYgCg-SFtcvDK2g48.z1DzlduPHe6DJdoInIFtgwxBh3VEDphL0T_fEapxz_8&dib_tag=se&keywords=laptop&qid=1724007675&sprefix=laptop%2Caps%2C225&sr=8-295
15,"HP Victus Special Edition, 12th Gen Intel Core i7-12650H, 4GB RTX 3050A GPU, 15.6-inch (39.6 cm), FHD, IPS, 144Hz, 16GB DDR4, 1TB SSD, Backlit KB, 9ms Response time (MSO, Blue, 2.29 kg), fa1389TX  ","83,490",https://amazon.in//HP-i7-12650H-15-6-inch-Response-fa1389TX/dp/B0D81CT9JJ/ref=sr_1_296?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.4bVi7L59JWoS1pK2rv5D2waY3JUrFShagzx9tRHfgi45knIUJes6JU-UxrEmvW7kGxsJZUj-CCbCIb8H4lIAN0M1RRiiU97D9l3iAD4Y75SyUe45ksAbu3RPChs4SRpEpJwSIG6RXLQYYa9tEfCGB3HkxE4pxAwp2mTCU0wOfGIZCUR2jymjImPwTV4MVOgvhOESR-LmM-7NQSgC8GUSg2iwPweYgCg-SFtcvDK2g48.z1DzlduPHe6DJdoInIFtgwxBh3VEDphL0T_fEapxz_8&dib_tag=se&keywords=laptop&qid=1724007675&sprefix=laptop%2Caps%2C225&sr=8-296
16,"ASUS Vivobook Go 15 (2023), Intel Core i3-N305, 15.6"" (39.62 cms) FHD, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Backlit KB/Silver/1.63 kg), E1504GA-NJ321WS  ","33,970",https://amazon.in//ASUS-Vivobook-Integrated-Graphics-E1504GA-NJ321WS/dp/B0C1GGZYS5/ref=sr_1_297?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.4bVi7L59JWoS1pK2rv5D2waY3JUrFShagzx9tRHfgi45knIUJes6JU-UxrEmvW7kGxsJZUj-CCbCIb8H4lIAN0M1RRiiU97D9l3iAD4Y75SyUe45ksAbu3RPChs4SRpEpJwSIG6RXLQYYa9tEfCGB3HkxE4pxAwp2mTCU0wOfGIZCUR2jymjImPwTV4MVOgvhOESR-LmM-7NQSgC8GUSg2iwPweYgCg-SFtcvDK2g48.z1DzlduPHe6DJdoInIFtgwxBh3VEDphL0T_fEapxz_8&dib_tag=se&keywords=laptop&qid=1724007675&sprefix=laptop%2Caps%2C225&sr=8-297
17,"MSI Thin 15, Intel 12th Gen. Core i7-12650H, 40CM FHD 144Hz Gaming Laptop(16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg), B12UC-1690IN  ","69,990",https://amazon.in//MSI-i7-12650H-Windows-GeForce-B12UC-1690IN/dp/B0CV9VTBKD/ref=sr_1_298?crid=24LEBY662NLG5&dib=eyJ2IjoiMSJ9.4bVi7L59JWoS1pK2rv5D2waY3JUrFShagzx9tRHfgi45knIUJes6JU-UxrEmvW7kGxsJZUj-CCbCIb8H4lIAN0M1RRiiU97D9l3iAD4Y75SyUe45ksAbu3RPChs4SRpEpJwSIG6RXLQYYa9tEfCGB3HkxE4pxAwp2mTCU0wOfGIZCUR2jymjImPwTV4MVOgvhOESR-LmM-7NQSgC8GUSg2iwPweYgCg-SFtcvDK2g48.z1DzlduPHe6DJdoInIFtgwxBh3VEDphL0T_fEapxz_8&dib_tag=se&keywords=laptop&qid=1724007675&sprefix=laptop%2Caps%2C225&sr=8-298
